duration : 306, tx :3416047, rx :64557, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 308, tx :3439749, rx :65078, txbr :94, rxbr :2, txAudioBr :83, rxAudioBr :0, users :1

duration : 310, tx :3463761, rx :65522, txbr :96, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 312, tx :3487348, rx :65816, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 314, tx :3510712, rx :66139, txbr :93, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 316, tx :3534732, rx :66583, txbr :96, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 318, tx :3558251, rx :66954, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 320, tx :3581615, rx :67200, txbr :93, rxbr :0, txAudioBr :82, rxAudioBr :0, users :1

duration : 322, tx :3605634, rx :67644, txbr :96, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 324, tx :3629153, rx :68015, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 326, tx :3652695, rx :68459, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 328, tx :3676551, rx :68782, txbr :95, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 330, tx :3700070, rx :69076, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 332, tx :3723612, rx :69520, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 334, tx :3746455, rx :70041, txbr :91, rxbr :2, txAudioBr :77, rxAudioBr :0, users :1

duration : 336, tx :3767588, rx :70335, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 338, tx :3789512, rx :70856, txbr :87, rxbr :2, txAudioBr :75, rxAudioBr :0, users :1

duration : 340, tx :3811125, rx :71102, txbr :86, rxbr :0, txAudioBr :73, rxAudioBr :0, users :1

duration : 342, tx :3832625, rx :71594, txbr :86, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 344, tx :3853417, rx :71719, txbr :83, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 346, tx :3875139, rx :72163, txbr :86, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 348, tx :3896416, rx :72732, txbr :85, rxbr :2, txAudioBr :72, rxAudioBr :0, users :1

duration : 350, tx :3917246, rx :72978, txbr :83, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 352, tx :3938910, rx :73422, txbr :86, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 354, tx :3959957, rx :73793, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 356, tx :3981039, rx :74237, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 358, tx :4002384, rx :74560, txbr :85, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 360, tx :4023739, rx :74854, txbr :85, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 362, tx :4046853, rx :75298, txbr :92, rxbr :1, txAudioBr :80, rxAudioBr :0, users :1

duration : 364, tx :4070163, rx :75819, txbr :93, rxbr :2, txAudioBr :75, rxAudioBr :0, users :1

duration : 366, tx :4091883, rx :76161, txbr :86, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 368, tx :4113870, rx :76682, txbr :87, rxbr :2, txAudioBr :76, rxAudioBr :0, users :1

duration : 370, tx :4135586, rx :76928, txbr :86, rxbr :0, txAudioBr :73, rxAudioBr :0, users :1

duration : 372, tx :4156940, rx :77420, txbr :85, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 374, tx :4177579, rx :77545, txbr :82, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 376, tx :4199115, rx :77989, txbr :86, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 378, tx :4220236, rx :78558, txbr :84, rxbr :2, txAudioBr :72, rxAudioBr :0, users :1

duration : 380, tx :4241092, rx :78804, txbr :83, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

